CODIGO,FECHAPEDIDO,NUMERO,REFERENCIA,CANTIDADCOMPRA,UNIDADESCONSUMOCONTENIDAS,PRECIO,IMPORTELINEA,TIPOCOMPRA,ORIGEN,TGL,PRODUCTO
E99808,2023-01-01,1595724/23,178567.1,60,10,62.59,375.54,Compra menor,1-2-60,TRANSITO,APOSITO DE FIBRAS DE POLIACRILATO C/PLATA-3
B40558,2023-01-02,124328/23,400505,10,1,13.189,131.89,Compra menor,0-18-71,TRANSITO,GEL P/ LIMPIEZA  Y DESCONTAMINACION DE HERIDAS-15
B41691,2023-01-02,124544/23,400403,220,10,134.431,2957.482,Compra menor,0-10-1,ALMACENABLE,SOLUCION P/ LIMPIEZA Y DESCONTAMINACION DE HERIDAS-16
E64543,2023-01-02,120359/23,403770,15,5,12.1,36.3,Compra menor,0-14-50,TRANSITO,APOSITO DE HIDROFIBRA  / CINTA-18
F43580,2023-01-02,125147/23,M8275051/5,20,5,412.5,1650.0,Compra menor,0-11-151,TRANSITO,EQ. DE PRESION NEGATIVA / Espuma de poliuretano-32
F50071,2023-01-02,125134/23,421554,10,5,114.95,229.9,Compra menor,0-11-136,TRANSITO,APOSITO DE HIDROFIBRA HIDROCOLOIDE P/ BOMBA DE UN SOLO USO-26
E64544,2023-01-02,124697/23,420621,350,10,42.349958,1482.24853,Compra menor,0-10-1,ALMACENABLE,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ ESPUMA POLIURETANO-10
E64932,2023-01-02,125481/23,7311,540,10,7.7055,416.097,Concurso,0-10-1,ALMACENABLE,HIDROGEL-37
E64983,2023-01-02,125246/23,157027.7,330,10,15.345,506.385,Compra menor,0-10-1,ALMACENABLE,APOSITO MALLADO C/ PARAFINA-38
E65056,2023-01-02,124530/23,33533,273,3,0.989571,90.050961,Concurso,0-10-1,ALMACENABLE,APOSITO DE HIDROCOLOIDE-9
E65509,2023-01-02,125354/23,161445.2,70,10,53.68,375.76,Compra menor,0-18-1,ALMACENABLE,APOSITO DE FIBRAS DE POLIACRILATO-3
E65894,2023-01-02,125246/23,157028.4,200,10,34.98,699.6,Compra menor,0-10-1,ALMACENABLE,APOSITO MALLADO C/ PARAFINA-39
E66071,2023-01-02,124697/23,420680,670,10,18.59,1245.53,Compra menor,0-10-1,ALMACENABLE,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ ESPUMA POLIURETANO-12
E66071,2023-01-02,124705/23,420680,1000,10,18.59,1859.0,Compra menor,0-13-1,ALMACENABLE,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ ESPUMA POLIURETANO-12
E85758,2023-01-02,125704/23,33436,480,240,654.72372,1309.44744,Concurso,0-10-1,ALMACENABLE,APÓSITO DE ESPUMA DE POLIURETANO Y POLIACRILATO CON SILICONA-14
E99808,2023-01-02,120356/23,178567.1,30,10,62.59,187.77,Compra menor,0-14-50,TRANSITO,APOSITO DE FIBRAS DE POLIACRILATO C/PLATA-3
E99808,2023-01-02,125324/23,178567.1,20,10,62.59,125.18,Compra menor,0-12-80,TRANSITO,APOSITO DE FIBRAS DE POLIACRILATO C/PLATA-3
E99808,2023-01-02,124282/23,178567.1,100,10,62.59,625.9,Compra menor,0-15-16,TRANSITO,APOSITO DE FIBRAS DE POLIACRILATO C/PLATA-3
F43325,2023-01-02,125146/23,409761,20,10,733.21,1466.42,Compra menor,0-11-113,TRANSITO,APOSITO ESPUMA DE POLIVINILO ALCOHOL  P/ TERAPIA CONVENCIONAL PRESION NEGATIVA-34
F44200,2023-01-02,125134/23,421551,2,1,111.1022,222.2044,Compra menor,0-11-136,TRANSITO,BOMBA DE UN SOLO USO / TERAPIA PRESIÓN NEGATIVA-40
E64543,2023-01-03,250372/23,403770,15,5,12.1,36.3,Compra menor,0-14-23,TRANSITO,APOSITO DE HIDROFIBRA  / CINTA-18
E64663,2023-01-03,250363/23,413568,170,5,26.399925,897.59745,Compra menor,0-18-1,ALMACENABLE,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3
E65485,2023-01-03,250258/23,33115,210,5,5.6529,237.4218,Concurso,0-10-1,ALMACENABLE,APOSITO DE HIDROCOLOIDE-3
F43580,2023-01-03,251129/23,409729,25,5,437.02,2185.1,Compra menor,0-18-108,TRANSITO,EQ. DE PRESION NEGATIVA / Espuma de poliuretano-32
F43581,2023-01-03,251129/23,409726,15,5,461.31,1383.93,Compra menor,0-18-108,TRANSITO,EQ. DE PRESION NEGATIVA / Espuma de poliuretano-36
F43585,2023-01-03,250990/23,M8275098/5,5,5,510.4,510.4,Compra menor,0-11-112,TRANSITO,EQ. DE PRESION NEGATIVA / Espuma de poliuretano con plata-35
E64544,2023-01-03,250360/23,420621,400,10,42.349958,1693.99832,Compra menor,0-10-1,ALMACENABLE,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ ESPUMA POLIURETANO-10
E64911,2023-01-03,250381/23,20701,300,300,766.128,766.128,Concurso,0-10-1,ALMACENABLE,APOSITO C/ CARBON Y PLATA-6
E64983,2023-01-03,250627/23,157027.7,270,10,15.345,414.315,Compra menor,0-10-1,ALMACENABLE,APOSITO MALLADO C/ PARAFINA-38
E64983,2023-01-03,250631/23,157027.7,300,10,15.345,460.35,Compra menor,0-18-1,ALMACENABLE,APOSITO MALLADO C/ PARAFINA-38
E65159,2023-01-03,250632/23,281 421,5000,1000,14.1,70.5,Compra menor,0-18-1,ALMACENABLE,APOSITO PARA PEQUEÑAS HERIDAS REDONDO-19
E65894,2023-01-03,250627/23,157028.4,250,10,34.98,874.5,Compra menor,0-10-1,ALMACENABLE,APOSITO MALLADO C/ PARAFINA-39
E65894,2023-01-03,250631/23,157028.4,200,10,34.98,699.6,Compra menor,0-18-1,ALMACENABLE,APOSITO MALLADO C/ PARAFINA-39
E85758,2023-01-03,250258/23,33436,450,10,27.280155,1227.606975,Concurso,0-10-1,ALMACENABLE,APÓSITO DE ESPUMA DE POLIURETANO Y POLIACRILATO CON SILICONA-14
E85758,2023-01-03,250273/23,33436,40,10,27.280155,109.12062,Concurso,0-18-1,ALMACENABLE,APÓSITO DE ESPUMA DE POLIURETANO Y POLIACRILATO CON SILICONA-14
E99808,2023-01-03,251275/23,178567.1,10,10,62.59,62.59,Compra menor,0-11-113,TRANSITO,APOSITO DE FIBRAS DE POLIACRILATO C/PLATA-3
E99808,2023-01-03,250374/23,178567.1,30,10,62.59,187.77,Compra menor,0-14-23,TRANSITO,APOSITO DE FIBRAS DE POLIACRILATO C/PLATA-3
F42922,2023-01-03,251129/23,409721,9,3,1633.22,4899.66,Compra menor,0-18-108,TRANSITO,EQ. DE PRESIÓN NEGATIVA ABDOMINAL-29
B40558,2023-01-06,680820/23,400505,4,1,9.88899,39.55596,Concurso,0-9-74,TRANSITO,GEL P/ LIMPIEZA  Y DESCONTAMINACION DE HERIDAS-15
B41691,2023-01-06,683852/23,400403,270,10,107.03,2889.81,Concurso,0-8--1,ALMACENABLE,SOLUCION P/ LIMPIEZA Y DESCONTAMINACION DE HERIDAS-16
E64488,2023-01-06,684649/23,284300,360,30,198.002475,2376.0297,Concurso,0-8--1,ALMACENABLE,APÓSITO DE ESPUMA DE POLIURETANO C/ SILICONA-3
F50071,2023-01-06,683647/23,421554,5,5,114.95,114.95,Compra menor,0-11-112,TRANSITO,APOSITO DE HIDROFIBRA HIDROCOLOIDE P/ BOMBA DE UN SOLO USO-26
E64544,2023-01-06,684351/23,420621,380,10,42.349958,1609.298404,Compra menor,0-8--1,ALMACENABLE,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ ESPUMA POLIURETANO-10
E64663,2023-01-06,684351/23,413568,400,100,527.9985,2111.994,Compra menor,0-8--1,ALMACENABLE,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3
E64983,2023-01-06,684626/23,157027.7,270,10,15.345,414.315,Compra menor,0-8--1,ALMACENABLE,APOSITO MALLADO C/ PARAFINA-38
E65056,2023-01-06,684258/23,33533,453,3,0.989571,149.425221,Compra menor,0-8--1,ALMACENABLE,APOSITO DE HIDROCOLOIDE-9
E65486,2023-01-06,684258/23,33110,380,10,4.6178,175.4764,Compra menor,0-8--1,ALMACENABLE,APOSITO DE HIDROCOLOIDE-6
E65894,2023-01-06,684626/23,157028.4,820,10,34.98,2868.36,Compra menor,0-8--1,ALMACENABLE,APOSITO MALLADO C/ PARAFINA-39
E66071,2023-01-06,684351/23,420680,770,10,18.59,1431.43,Compra menor,0-8--1,ALMACENABLE,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ ESPUMA POLIURETANO-12
E73753,2023-01-06,684572/23,MAP190,490,10,57.199643,2802.782507,Concurso,0-8--1,ALMACENABLE,APOSITO C/ CARBON Y PLATA-4
E85758,2023-01-06,684258/23,33436,1280,10,27.280155,3491.85984,Compra menor,0-8--1,ALMACENABLE,APÓSITO DE ESPUMA DE POLIURETANO Y POLIACRILATO CON SILICONA-14
E85758,2023-01-06,684635/23,33436,140,10,27.280155,381.92217,Compra menor,0-0-2,ALMACENABLE,APÓSITO DE ESPUMA DE POLIURETANO Y POLIACRILATO CON SILICONA-14
E85769,2023-01-06,684258/23,33435,20,10,20.899808,41.799616,Compra menor,0-8--1,ALMACENABLE,APÓSITO DE ESPUMA DE POLIURETANO Y POLIACRILATO CON SILICONA-13
