CODIGO;FECHAPEDIDO;NUMERO;REFERENCIA;CANTIDADCOMPRA;UNIDADESCONSUMOCONTENIDAS;PRECIO;IMPORTELINEA;TIPOCOMPRA;ORIGEN;TGL;PRODUCTO
E99808;01/01/23;1595724/23;178567.1;60;10;62.59;375.54;Compra menor;1-2-60;TRANSITO;APOSITO DE FIBRAS DE POLIACRILATO C/PLATA-3
B41691;01/02/16;72714/16;400403;40;10;102.803729;411.214916;Compra menor;0-10-1;ALMACENABLE;SOLUCION P/ LIMPIEZA Y DESCONTAMINACION DE HERIDAS-16
E64543;01/02/16;71961/16;403770;20;5;12.1;48.4;Compra menor;0-4-111;TRANSITO;APOSITO DE HIDROFIBRA  / CINTA-18
E65007;01/02/16;72773/16;20415;100;50;215.325;430.65;Concurso;0-10-1;ALMACENABLE;APOSITO DE ESPUMA POLIURETANO / SACRO-11
E64911;01/02/17;86159/17;20701;300;300;792;792;Concurso;0-6-1;ALMACENABLE;APOSITO C/ CARBON Y PLATA-6
E65509;01/02/17;86264/17;161445.2;80;10;53.888999;431.111992;Concurso;0-0-2;ALMACENABLE;APOSITO DE FIBRAS DE POLIACRILATO-3
E65894;01/02/17;86265/17;157028.4;140;10;35.189001;492.646014;Concurso;0-6-1;ALMACENABLE;APOSITO MALLADO C/ PARAFINA-39
E66071;01/02/17;86147/17;420680;600;10;20.9;1254;Compra menor;0-13-1;ALMACENABLE;APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ ESPUMA POLIURETANO-12
E64543;01/02/18;91119/18;403770;40;5;12.1;96.8;Compra menor;0-11-153;TRANSITO;APOSITO DE HIDROFIBRA  / CINTA-18
E64663;01/02/18;92073/18;413568;100;100;539.0055;539.0055;Concurso;0-0-2;ALMACENABLE;APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3
E64898;01/02/18;91173/18;0037447;350;350;577.5;577.5;Concurso;0-6-95;TRANSITO;APàSITO ADHESIVO ABSORBENTE IMPERMEABLE C/ BOLSA-21
E65056;01/02/18;92038/18;33533;882;3;1.8513;544.2822;Compra menor;0-0-2;ALMACENABLE;APOSITO DE HIDROCOLOIDE-9
E66071;01/02/18;92071/18;420680;120;10;20.9;250.8;Compra menor;0-0-2;ALMACENABLE;APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ ESPUMA POLIURETANO-12
E70130;01/02/18;92069/18;187662;400;50;126.5;1012;Concurso;0-13-1;ALMACENABLE;APOSITO DE HIDROCOLOIDE-7
E64761;01/02/19;101923/19;265868.4;50;5;13.497;134.97;Compra menor;0-0-37;TRANSITO;APOSITO DE HIDROCOLOIDE C/ PLATA-2
E64946;01/02/19;101322/19;66800248;100;10;16.5;165;Concurso;0-18-1;ALMACENABLE;APOSITO DE ESPUMA POLIURETANO-8
E64543;01/02/21;112428/21;403770;50;5;12.1;121;Compra menor;0-18-178;TRANSITO;APOSITO DE HIDROFIBRA  / CINTA-18
E64543;01/02/21;109933/21;403770;10;5;12.1;24.2;Compra menor;0-4-111;TRANSITO;APOSITO DE HIDROFIBRA  / CINTA-18
E64663;01/02/21;112639/21;413568;65;5;26.399925;343.199025;Concurso;0-4-1;ALMACENABLE;APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3
E64764;01/02/21;112752/21;1383;3300;300;27.588;303.468;Concurso;0-18-1;ALMACENABLE;APàSITO ABSORBENTE C/ ADHESIVO-22
E64765;01/02/21;112752/21;1385;900;300;49.302;147.906;Concurso;0-18-1;ALMACENABLE;APàSITO ABSORBENTE C/ ADHESIVO-23
E64932;01/02/21;113533/21;7311;80;40;30.822;61.644;Concurso;0-4-1;ALMACENABLE;HIDROGEL-37
E64932;01/02/21;113535/21;7311;100;10;7.7055;77.055;Concurso;0-0-2;ALMACENABLE;HIDROGEL-37
E64983;01/02/21;113420/21;157027.7;200;10;15.345;306.9;Concurso;0-4-1;ALMACENABLE;APOSITO MALLADO C/ PARAFINA-38
E65509;01/02/21;113419/21;161445.2;160;80;429.44;858.88;Concurso;0-0-2;ALMACENABLE;APOSITO DE FIBRAS DE POLIACRILATO-3
E66071;01/02/21;112621/21;420680;150;10;18.59;278.85;Concurso;0-10-1;ALMACENABLE;APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ ESPUMA POLIURETANO-12
E67462;01/02/21;112749/21;152026.5;10;10;65.56;65.56;Compra menor;0-12-146;;APOSITO DE HIDROCOLOIDE C/ PLATA-5
E69682;01/02/21;113416/21;166680.2;90;10;131.89;1187.01;Concurso;0-10-1;ALMACENABLE;APàSITO MALLADO C/ OLIGOSACµRIDOS-1
E78950;01/02/21;111465/21;TR101;24;12;77.88;155.76;Compra menor;0-12-101;TRANSITO;ELIMINADOR DE ADHESIVOS MEDICOS DE LA PIEL-17
E99807;01/02/21;113419/21;178565.7;100;10;47.19;471.9;Concurso;0-0-2;ALMACENABLE;APOSITO DE FIBRAS DE POLIACRILATO C/PLATA-6
